gstreamer1.0-plugins-bad-fieldanalysis aarch64 1.16.3
gstreamer1.0-plugins-bad-freeverb aarch64 1.16.3
gstreamer1.0-plugins-bad-frei0r aarch64 1.16.3
gstreamer1.0-plugins-bad-gaudieffects aarch64 1.16.3
gstreamer1.0-plugins-bad-gdp aarch64 1.16.3
gstreamer1.0-plugins-bad-geometrictransform aarch64 1.16.3
gstreamer1.0-plugins-bad-hls aarch64 1.16.3
gstreamer1.0-plugins-bad-id3tag aarch64 1.16.3
gstreamer1.0-plugins-bad-inter aarch64 1.16.3
gstreamer1.0-plugins-bad-interlace aarch64 1.16.3
gstreamer1.0-plugins-bad-ipcpipeline aarch64 1.16.3
gstreamer1.0-plugins-bad-ivfparse aarch64 1.16.3
gstreamer1.0-plugins-bad-ivtc aarch64 1.16.3
gstreamer1.0-plugins-bad-jp2kdecimator aarch64 1.16.3
gstreamer1.0-plugins-bad-jpegformat aarch64 1.16.3
gstreamer1.0-plugins-bad-legacyrawparse aarch64 1.16.3
gstreamer1.0-plugins-bad-meta aarch64 1.16.3
gstreamer1.0-plugins-bad-midi aarch64 1.16.3
gstreamer1.0-plugins-bad-mpegpsdemux aarch64 1.16.3
gstreamer1.0-plugins-bad-mpegpsmux aarch64 1.16.3
gstreamer1.0-plugins-bad-mpegtsdemux aarch64 1.16.3
gstreamer1.0-plugins-bad-mpegtsmux aarch64 1.16.3
gstreamer1.0-plugins-bad-mxf aarch64 1.16.3
gstreamer1.0-plugins-bad-netsim aarch64 1.16.3
gstreamer1.0-plugins-bad-pcapparse aarch64 1.16.3
gstreamer1.0-plugins-bad-pnm aarch64 1.16.3
gstreamer1.0-plugins-bad-proxy aarch64 1.16.3
gstreamer1.0-plugins-bad-removesilence aarch64 1.16.3
gstreamer1.0-plugins-bad-rfbsrc aarch64 1.16.3
gstreamer1.0-plugins-bad-rsvg aarch64 1.16.3
gstreamer1.0-plugins-bad-rtponvif aarch64 1.16.3
gstreamer1.0-plugins-bad-sbc aarch64 1.16.3
gstreamer1.0-plugins-bad-sdpelem aarch64 1.16.3
gstreamer1.0-plugins-bad-segmentclip aarch64 1.16.3
gstreamer1.0-plugins-bad-shm aarch64 1.16.3
gstreamer1.0-plugins-bad-siren aarch64 1.16.3
gstreamer1.0-plugins-bad-smooth aarch64 1.16.3
gstreamer1.0-plugins-bad-smoothstreaming aarch64 1.16.3
gstreamer1.0-plugins-bad-sndfile aarch64 1.16.3
gstreamer1.0-plugins-bad-speed aarch64 1.16.3
gstreamer1.0-plugins-bad-subenc aarch64 1.16.3
gstreamer1.0-plugins-bad-timecode aarch64 1.16.3
gstreamer1.0-plugins-bad-ttmlsubs aarch64 1.16.3
gstreamer1.0-plugins-bad-uvch264 aarch64 1.16.3
gstreamer1.0-plugins-bad-videofiltersbad aarch64 1.16.3
gstreamer1.0-plugins-bad-videoframe-audiolevel aarch64 1.16.3
gstreamer1.0-plugins-bad-videoparsersbad aarch64 1.16.3
gstreamer1.0-plugins-bad-videosignal aarch64 1.16.3
gstreamer1.0-plugins-bad-vmnc aarch64 1.16.3
gstreamer1.0-plugins-bad-vulkan aarch64 1.16.3
gstreamer1.0-plugins-bad-waylandsink aarch64 1.16.3
gstreamer1.0-plugins-bad-webp aarch64 1.16.3
gstreamer1.0-plugins-bad-y4mdec aarch64 1.16.3
gstreamer1.0-plugins-bad-yadif aarch64 1.16.3
gstreamer1.0-plugins-base aarch64 1.16.3
gstreamer1.0-plugins-base-adder aarch64 1.16.3
gstreamer1.0-plugins-base-alsa aarch64 1.16.3
gstreamer1.0-plugins-base-app aarch64 1.16.3
gstreamer1.0-plugins-base-apps aarch64 1.16.3
gstreamer1.0-plugins-base-audioconvert aarch64 1.16.3
gstreamer1.0-plugins-base-audiomixer aarch64 1.16.3
gstreamer1.0-plugins-base-audiorate aarch64 1.16.3
gstreamer1.0-plugins-base-audioresample aarch64 1.16.3
gstreamer1.0-plugins-base-audiotestsrc aarch64 1.16.3
gstreamer1.0-plugins-base-compositor aarch64 1.16.3
gstreamer1.0-plugins-base-encoding aarch64 1.16.3
gstreamer1.0-plugins-base-gio aarch64 1.16.3
gstreamer1.0-plugins-base-meta aarch64 1.16.3
gstreamer1.0-plugins-base-ogg aarch64 1.16.3
gstreamer1.0-plugins-base-opengl aarch64 1.16.3
gstreamer1.0-plugins-base-overlaycomposition aarch64 1.16.3
gstreamer1.0-plugins-base-pango aarch64 1.16.3
gstreamer1.0-plugins-base-pbtypes aarch64 1.16.3
gstreamer1.0-plugins-base-playback aarch64 1.16.3
gstreamer1.0-plugins-base-rawparse aarch64 1.16.3
gstreamer1.0-plugins-base-subparse aarch64 1.16.3
gstreamer1.0-plugins-base-tcp aarch64 1.16.3
gstreamer1.0-plugins-base-theora aarch64 1.16.3
gstreamer1.0-plugins-base-typefindfunctions aarch64 1.16.3
gstreamer1.0-plugins-base-videoconvert aarch64 1.16.3
gstreamer1.0-plugins-base-videorate aarch64 1.16.3
gstreamer1.0-plugins-base-videoscale aarch64 1.16.3
gstreamer1.0-plugins-base-videotestsrc aarch64 1.16.3
gstreamer1.0-plugins-base-volume aarch64 1.16.3
gstreamer1.0-plugins-base-vorbis aarch64 1.16.3
